SiteId,Site_Name,Site_Brand,Sites_Address_Line_1,Site_Suburb,Site_State,Site_Post_Code,Site_Latitude,Site_Longitude
61401428,Coles Express Rocklea,Coles Express,1728 Ipswich Road,Rocklea,QLD,4106,-27.560266,153.001138
61401431,NightOwl BP Salisbury,BP,304 Evans Road,Salisbury,QLD,4107,-27.545998,153.038521
61401436,NightOwl BP Sunnybank,BP,841 Musgrave Road,Sunnybank,QLD,4109,-27.567106,153.064684
61401438,Coles Express Sunnybank,Coles Express,254 Mains Road,Sunnybank,QLD,4109,-27.575989,153.062932
61401440,Metro Petroleum Sunnybank,Metro Fuel,138 McCullough St,Sunnybank,QLD,4109,-27.570524,153.055657
61401441,7-Eleven Acacia Ridge,7 Eleven,1439 Beaudesert Road,Acacia Ridge,QLD,4110,-27.589198,153.027196
61401443,Metco Coopers Plains,Independent,930 Boundary Road,Coopers Plains,QLD,4108,-27.570166,153.037912
61401444,7-Eleven Acacia Ridge East,7 Eleven,139 Beenleigh Road,Acacia Ridge,QLD,4110,-27.575608,153.039526
61401445,7-Eleven Wishart,7 Eleven,Mt Gravatt-Capalaba Road,Wishart,QLD,4122,-27.556444,153.089725
61401446,BP Wishart,BP,528 Newnham Road,Wishart,QLD,4122,-27.561388,153.089338
61401447,EG Ampol Macgregor,EG Ampol,605 Kessels Road,Macgregor,QLD,4109,-27.562252,153.074314
61401448,Shell Reddy Express Kessels Rd,Reddy Express,651 Kessels Road,Mount Gravatt,QLD,4122,-27.560992,153.078766
61401450,Caltex Eight Mile Plains,Caltex,2489 Logan Road,Eight Mile Plains,QLD,4113,-27.575392,153.091519
61401453,OOM Energy Underwood,Independent,3077 Logan Road,Underwood,QLD,4119,-27.598813,153.109186
61401457,7-Eleven North Ipswich,7 Eleven,36 Downs Street,North Ipswich,QLD,4305,-27.603169,152.761489
61401460,7-Eleven Dinmore,7 Eleven,29-31 Brisbane Road,Dinmore,QLD,4303,-27.598024,152.832097
61401461,Freedom Fuels Ipswich,Freedom Fuels,62 Brisbane Road,Ebbw Vale,QLD,4304,-27.601009,152.826358
61401462,Ampol Foodary Goodna,Ampol,Church Street,Goodna,QLD,4300,-27.608638,152.897761
61401471,7-Eleven Algester,7 Eleven,169 Algester Road,Algester,QLD,4115,-27.612577,153.039553
61401472,Caltex Stretton,Caltex,516 Compton Rd,Stretton,QLD,4116,-27.611617,153.063515
61401473,Coles Express Woodridge,Coles Express,188-192 Kingston Rd (Cnr Moss St),Woodridge,QLD,4114,-27.624373,153.116836
61401474,Metro Petroleum Kuraby,Metro Fuel,1319 Beenleigh Road,Kuraby,QLD,4112,-27.604144,153.089323
61401477,7-Eleven Springwood,7 Eleven,Cnr Springwood Rd & Cinderella Dr,Springwood,QLD,4127,-27.61027,153.124158
61401478,Shell Reddy Express Springwood,Reddy Express,3495 Pacific Hwy,Slacks Creek,QLD,4127,-27.633596,153.131329
61401479,7-Eleven Woodridge,7 Eleven,108-110 Compton Road,Woodridge,QLD,4114,-27.618952,153.104983
61401480,Coles Express Daisy Hill,Coles Express,21 Daisy Hill Rd (Allamanda Dr) Road,Daisy Hill,QLD,4127,-27.644707,153.153529
61401483,7-Eleven Logan City,7 Eleven,120 Wembley Road,Logan City,QLD,4114,-27.641272,153.107503
61401485,BP Mt Cotton,BP,1605 Mt Cotton Road,Mount Cotton,QLD,4165,-27.637333,153.239623
61401487,BP Redland Bay,BP,721 Cleveland-Redland Bay Rd Cnr Double Jump Rd,Redland Bay,QLD,4165,-27.606007,153.288037
61401492,Metro West Ipswich,Metro Fuel,256 Brisbane Street,West Ipswich,QLD,4305,-27.618898,152.749684
61401496,Ampol Foodary Leichhardt,Ampol,Old Toowoomba Road,Leichhardt,QLD,4305,-27.627592,152.743669
61401497,Pacific Petroleum Churchill,Pacific Petroleum,272 Warwick Rd,Churchill,QLD,4305,-27.643974,152.75091
61401500,Ampol Foodary Booval,Ampol,180 Brisbane Road,Booval,QLD,4304,-27.613441,152.792164
61401502,Metco Silkstone,Independent,134 Blackstone Road,Silkstone,QLD,4304,-27.621451,152.789644
61401503,BP Eastern Heights,BP,Robertson Road,Eastern Heights,QLD,4305,-27.627994,152.777695
61401505,United Yamanto,United,20 Saleyards Road,Yamanto,QLD,4305,-27.655108,152.747776
61401506,BP Yamanto,BP,500 Warwick Road,Yamanto,QLD,4305,-27.660415,152.740213
61401507,Coles Express Yamanto,Coles Express,503 Warwick Road,Yamanto,QLD,4305,-27.660061,152.739466
61401508,7-Eleven Redbank Plains,7 Eleven,355 Redbank Plains Road,Redbank Plains,QLD,4301,-27.644962,152.871607
61401510,BP Kingston,BP,469 Kingston Road,Kingston,QLD,4114,-27.658801,153.116863
61401512,7-Eleven Marsden,7 Eleven,7985 Chambers Flat Road,Marsden,QLD,4132,-27.680671,153.114682
61401514,Ampol Foodary Waterford,Ampol,950 Kingston Road,Waterford West,QLD,4133,-27.691549,153.134371
61401517,Coles Express Loganholme,Coles Express,61-65 Bryants Road,Loganholme,QLD,4129,-27.663322,153.177523
61401520,Pacific Petroleum Beenleigh,Pacific Petroleum,21 City Road,Beenleigh,QLD,4207,-27.708448,153.202966
61401523,Ampol Foodary Carseldine,Ampol,1754 Gympie Road,Carseldine,QLD,4034,-27.342181,153.010801
61401524,Ampol Foodary Alexandra Hills,Ampol,Finucane Road,Alexandra Hills,QLD,4161,-27.522943,153.219754
61401530,Shell Reddy Express Coorparoo,Reddy Express,227 Old Cleveland Road,Coorparoo,QLD,4151,-27.496906,153.055324
61401531,Coles Express Alexandra Hills,Coles Express,96 Finucane Road,Alexandra Hills,QLD,4161,-27.521191,153.212152
61401534,Coles Express Rochedale,Coles Express,1009 Underwood Road,Rochedale,QLD,4123,-27.595663,153.121522
61401535,Coles Express Calamvale,Coles Express,2654 Beaudesert Road,Calamvale,QLD,4116,-27.632785,153.047023
61401537,Coles Express Virginia,Coles Express,1890 Sandgate Rd (Cnr Robinson Rd),Virginia,QLD,4014,-27.369937,153.061645
61401541,Ampol Foodary Hamilton,Ampol,516 Kingsford Smith Drive,Hamilton,QLD,4007,-27.438358,153.067039
61401543,7-Eleven Kensington Hills,7 Eleven,Kensington Way,Bray Park,QLD,4500,-27.296911,152.975134
61401544,BP Connect Bowen Bridge,BP,54 B Bowen Bridge Rd,Herston,QLD,4006,-27.445376,153.029391
61401545,Freedom Fuels Mt Gravatt,Freedom Fuels,154 Creek Road,Mount Gravatt East,QLD,4122,-27.536311,153.087877
61401546,BP Connect Springwood,BP,3388 Pacific Highway,Springwood,QLD,4127,-27.622297,153.128134
61401547,7-Eleven Kingston,7 Eleven,325 Kingston Road,Woodridge,QLD,4114,-27.644818,153.118117
61401550,Caltex Rochedale,Caltex,670 Miles Platting Rd,Rochedale South,QLD,4123,-27.580273,153.124741
61401551,EG Ampol Kenmore,EG Ampol,2005 Moggill Road,Kenmore,QLD,4069,-27.507547,152.940547
61401554,Coles Express Holland Park,Coles Express,21 Bapaume Rd (CNR Kuring-Gai Ave),Holland Park,QLD,4121,-27.526702,153.055816
61401555,Caltex Woodridge,Caltex,127 Kingston Road,Woodridge,QLD,4114,-27.628099,153.117901
61401559,BP Nerang,BP,Cayuga Street,Nerang,QLD,4211,-27.999238,153.338983
61401560,Caltex Kalinga,Caltex,Dawson Street,Kalinga,QLD,4030,-27.410437,153.047737
61401561,Shell Reddy Express Kippa-Ring,Reddy Express,419 Elizabeth Ave,Kippa-Ring,QLD,4021,-27.229047,153.08531
61401567,Hope Energy  Biggera Waters,Independent,241 Brisbane Road,Biggera Waters,QLD,4216,-27.931363,153.376015
61401568,Freedom Fuels Acacia Ridge,Freedom Fuels,281 Learoyd Road,Acacia Ridge,QLD,4110,-27.595774,153.018424
61401569,Coles Express Marsden,Coles Express,604-614 Browns Plains Rd (Cnr Second Ave),Marsden,QLD,4132,-27.680893,153.092203
61401587,Ampol Foodary Nerang,Ampol,85 Spencer Road,Nerang,QLD,4211,-28.007725,153.344308
61401588,7-Eleven Victoria Point,7 Eleven,439-447 Cleveland-Redland Bay Road,Victoria Point,QLD,4165,-27.584359,153.281092
61401590,Caltex Wilston,Caltex,282 Newmarket Road,Wilston,QLD,4051,-27.435997,153.015046
61401591,Caltex Mango Hill,Caltex,1977 Anzac Avenue,Mango Hill,QLD,4509,-27.226303,153.036016
61401597,Ampol Foodary Elanora,Ampol,196 K P Mcgrath Drive,Elanora,QLD,4221,-28.122814,153.461404
61401598,Pacific Fuel Solutions Burleigh Heads Depot,Pacific Fuel Solutio,14 Ern Harley Drive,Burleigh Heads,QLD,4220,-28.101943,153.412798
61401599,Freedom Fuels Redbank Plains,Freedom Fuels,181 Kruger Parade,Redbank Plains,QLD,4301,-27.627592,152.874604
61401602,7-Eleven Browns Plains,7 Eleven,264 Browns Plains Road,Browns Plains,QLD,4118,-27.663931,153.063445
61401603,Caltex Chandler,Caltex,3210 Old Cleveland Road,Chandler,QLD,4155,-27.517378,153.183394
61401604,NightOwl Caltex Labrador,Caltex,177 Government Road,Labrador,QLD,4215,-27.948955,153.397144
61401605,BP Annerley,BP,810 Ipswich Road,Annerley,QLD,4103,-27.522508,153.025576
61401606,Liberty Deception Bay,Liberty,655 Deception Bay Road,Deception Bay,QLD,4508,-27.205168,153.038383
